,2015-8-24,http://www.apinpai.com/,我;张国荣;80;励志,  273,1447.1700
0,2015-12-14,http://www.movie.com/dor/,《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;票房（万）64959.0 ;4.0 ;,,
1,2015-4-2,http://bj.qu114.com/,my way;张敬轩;90;励志,52.0,337.27
2,2015-12-19,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
3,2015-5-28,http://www.favolist.com/,屋顶;温岚;80;励志,217.0,903.29
4,2015-8-1,http://www.apinpai.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,184.0,473.07
5,201-8-6,http://www.99inf.com/,光辉岁月;beyond;80;励志,72.0,1051.73
6,2015-6-28,http://www.qudee.com/,逃脱;李玟;90;伤感,123.0,483.23
7,2015-8-7,http://www.alifenfen.com/,星;邓丽君;80;励志,257.0,1779.36
8,2015-7-15,http://www.waaku.com/,我心是海洋;蔡琴;80;励志,210.0,1240.49
9,2015-4-5,http://www.yifawang.cn/,同道中人;张国荣;80;励志,42.0,963.85
10,2015-12-22,http://www.movie.com/bor/12386／,《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;票房（万）3937.4 ;3.8 ;,,
11,2015-6-29,http://www.apinpai.com/,借过;容祖儿;90;伤感,16.0,1869.68
12,2015-4-26,http://info.tianya.cn,最冷一天;陈奕迅;90;伤感,259.0,554.35
13,2015-4-6,http://www.apinpai.com/,加油;林俊杰/mc hotdog;90;励志,252.0,644.22
14,2015-7-27,http://www.apinpai.com/,firework;katy perry;90;励志,71.0,697.2
15,2015-6-8,http://beijing.faxinxi.cn/,给所有知道我名字的人;赵传;80;励志,174.0,1258.13
16,2015-7-13,http://www.denghuo.com/,逃脱;李玟;90;伤感,253.0,333.04
17,2015-12-15,http://www.movie.com/dor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
18,2015-12-1,http://www.movie.com/dor/,《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;票房（万）5020.3 ;4.5 ;,,
19,2015-8-5,http://www.waaku.com/,永远不要说放弃;童安格;80;励志,261.0,1353.83
20,2015-5-31,http://www.alifenfen.com/,忘记拥抱;a-lin;80;伤感,260.0,112.41
21,2015-12-26,http://www.movie.com/dor/,《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;票房（万）5068.7 ;5.7 ;,,
22,2015-8-30,http://www.qudee.com/,屋顶;温岚;80;励志,196.0,1847.63
23,2015-4-20,http://www.favolist.com/,story of my life;bon jovi;90;励志,214.0,1860.87
24,2015-6-21,http://www.denghuo.com/,借我;谢春花;90;伤感,272.0,937.38
25,2015-4-28,http://www.wuhan58.com/index.php,firework;katy perry;90;励志,289.0,501.72
26,2015-3-19,http://beijing.hand2hand.cn/,太阳星辰;张学友;80;励志,19.0,1802.64
27,2015-5-1,http://www.010y.com/,一起走过的日子;刘德华;80;伤感,174.0,621.15
28,2015-12-5,http://www.movie.com/bor/12386／,《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;票房（万）6974.6 ;5.0 ;,,
29,2015-8-30,http://www.alifenfen.com/,我心是海洋;蔡琴;80;励志,22.0,1053.13
30,2015-12-25,http://www.movie.com/dor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
31,2015-8-24,http://www.mouxiao.com/,firework;katy perry;90;励志,201.0,1539.84
32,2015-7-17,http://www.waaku.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,110.0,406.2
33,2015-8-8,http://www.qiyi123.com/,星;邓丽君;80;励志,36.0,1277.95
34,2015-8-3,http://www.yifawang.cn/,星;邓丽君;80;励志,184.0,1382.24
35,2015-5-15,http://www.jieu.com/,数鸭子;少儿歌曲;90;儿歌,167.0,1329.16
36,2015-6-8,http://beijing.hand2hand.cn/,太阳星辰;张学友;80;励志,49.0,1265.9
37,2015-4-13,http://bj.qu114.com/,壮志雄心;李克勤;90;励志,128.0,1195.17
38,2015-6-12,http://www.favolist.com/,从头再来;刘欢;90;励志,193.0,567.24
39,2015-3-8,http://www.ezxun.com/,匿名的好友;杨丞琳;90;伤感,29.0,1316.13
40,2015-12-25,http://www.movie.com/dor/,《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;票房（万）1003.6 ;7.6 ;,,
41,2015-8-2,http://www.mouxiao.com/,the climb;miley cyrus;80;励志,128.0,1343.4
42,2015-3-17,http://beijing.hand2hand.cn/,我心是海洋;蔡琴;80;励志,72.0,320.69
43,2015-5-14,http://bj.454.cn/,my way;张敬轩;90;励志,259.0,931.0
44,2015-4-11,http://www.qiyi123.com/,the climb;miley cyrus;80;励志,8.0,1249.19
45,2015-5-13,http://www.ezxun.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,31.0,1849.94
46,2015-4-4,http://www.wanxn.com/,爱让世界更美;童安格;90;励志,287.0,96.64
47,2015-6-19,http://bj.qu114.com/,忘记拥抱;a-lin;80;伤感,12.0,1617.68
48,2015-3-17,http://beijing.faxinxi.cn/,借过;容祖儿;90;伤感,231.0,1383.46
49,2015-4-10,http://www.qiyi123.com/,屋顶;温岚;80;励志,158.0,104.04
50,2015-5-30,http://www.010y.com/,数鸭子;少儿歌曲;90;儿歌,160.0,521.64
51,2015-5-24,http://www.apinpai.com/,屋顶;温岚;80;励志,90.0,1004.18
52,2015-5-18,http://www.apinpai.com/,忘记拥抱;a-lin;80;伤感,84.0,535.4
53,2015-5-19,http://bj.qu114.com/,感恩的心;欧阳菲菲;90;励志,250.0,704.65
54,2015-3-25,http://www.alifenfen.com/,my way;张敬轩;90;励志,241.0,1991.32
55,2015-5-7,http://www.waaku.com/,借过;容祖儿;90;伤感,211.0,617.38
56,2015-12-10,http://www.movie.com/bor/12386／,《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;票房（万）1273.2 ;6.5 ;,,
57,2015-12-15,http://www.movie.com/bor/,《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;票房（万）21617.9 ;6.4 ;,,
58,2015-3-1,http://www.favolist.com/,小兔子乖乖;小蓓蕾组合;90;儿歌,70.0,216.34
59,2015-12-10,http://www.movie.com/bor/12386／,《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;票房（万）4705.4 ;6.0 ;,,
