电影名称,上映日期,结束放映日期,票房
《将错就错》,2015.3.5,2015.3.29,"[《将错就错》, 2015.3.5, 2015.3.29, 中国电影股份有限公司等, 鐜嬪畞, 灏忔矆闃筹紝鐢颁寒锛岄檲灏忔槬锛岀唺榛涙灄, 爱情、喜剧, 票房（万）3937.4]"
《一路惊喜》,2015.2.6,2015.3.8,"[《一路惊喜》, 2015.2.6, 2015.3.8, 万达影视传媒有限公司, 金依萌/潘安子/章家瑞/宋迪, 郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉, 鍠滃墽/鐖辨儏/瀹跺涵, 票房（万）6974.6]"
《分手再说我爱你》,2015.12.24,2016.1.17,"[《分手再说我爱你》, 2015.12.24, 2016.1.17, 爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司, 叶念琛, 方力申，邓丽欣, 爱情、剧情, 票房（万）1273.2]"
《失孤》,2015.3.20,2015.5.3,"[《失孤》, 2015.3.20, 2015.5.3, 华谊兄弟传媒集团、源合圣影视、映艺娱乐, 彭三源, 刘德华，井柏然，梁家辉，吴君如, 剧情、社会, 票房（万）21617.9]"
《坏蛋必须死》,2015.11.27,2015.12.20,"[《坏蛋必须死》, 2015.11.27, 2015.12.20, 北京新力量、华谊兄弟、南京大道行知, 瀛欑殦, 陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民, 喜剧，悬疑，旅行，爱情, 票房（万）4705.4]"
《少年班》,2015.6.19,2015.7.19,"[《少年班》, 2015.6.19, 2015.7.19, 工夫影业；华谊兄弟, 鑲栨磱, 孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森, 青春、校园、喜剧, 票房（万）5068.7]"
《将错就错》,2015.3.5,2015.3.29,"[《将错就错》, 2015.3.5, 2015.3.29, 中国电影股份有限公司等, 鐜嬪畞, 灏忔矆闃筹紝鐢颁寒锛岄檲灏忔槬锛岀唺榛涙灄, 爱情、喜剧, 票房（万）3937.4]"
《天将雄师》,2015.2.19,2015.4.6,"[《天将雄师》, 2015.2.19, 2015.4.6, 耀莱文化，华谊兄弟，上海电影集团, 李仁港, 鎴愰緳锛岀害缈奥峰簱钀ㄥ厠锛岄樋寰烽噷瀹壜峰竷鍔宠开锛屽磾濮嬫簮聽锛屾灄楣忥紝鐜嬭嫢蹇冿紝绛峰瓙鍏勫紵锛岃タ钂欏瓙锛屽啹缁嶅嘲锛屾湵浣崇厹, 动作，古装，剧情，历史, 票房（万）74430.2]"
《一念天堂》,2015.12.31,2016.2.13,"[《一念天堂》, 2015.12.31, 2016.2.13, 天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司, 寮犳壙, 娌堣吘锛岄┈涓斤紝鏋楅洩锛屾潨鏅撳畤锛岀帇瀛愬瓙锛屾潕鍏冮箯, 鍠滃墽, 票房（万）8279.5]"
《最美的时候遇见你》,2015.12.11,2015.12.27,"[《最美的时候遇见你》, 2015.12.11, 2015.12.27, 广州遐迩文化传播有限公司, 吴娜, 谭松韵，罗云熙, 鏍″洯锛岀埍鎯咃紝鍠滃墽, 票房（万）156.2]"
《最美的时候遇见你》,2015.12.11,2015.12.27,"[《最美的时候遇见你》, 2015.12.11, 2015.12.27, 广州遐迩文化传播有限公司, 吴娜, 谭松韵，罗云熙, 鏍″洯锛岀埍鎯咃紝鍠滃墽, 票房（万）156.2]"
《破风》,2015.8.7,2015.9.13,"[《破风》, 2015.8.7, 2015.9.13, 恒大影视文化有限公司, 林超贤, 彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯, 剧情、运动、爱情, 票房（万）14529.1]"
《怦然星动》,2015.12.3,2016.1.10,"[《怦然星动》, 2015.12.3, 2016.1.10, 娆㈢憺涓栫邯锛屽槈琛屼紶濯掞紝闈掓槬鍏夌嚎, 陈国辉, 杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙, 閮藉競锛岀埍鎯咃紝鍠滃墽, 票房（万）15973.9]"
《前任2：备胎反击战》,2015.11.6,2015.12.20,"[《前任2：备胎反击战》, 2015.11.6, 2015.12.20, 华谊兄弟传媒股份有限公司、新圣堂影业, 田羽生, 閮戞伜锛岄儹閲囨磥锛屽紶鑹哄叴锛岀帇浼犲悰, 爱情，喜剧, 票房（万）25200.2]"
《破风》,2015.8.7,2015.9.13,"[《破风》, 2015.8.7, 2015.9.13, 恒大影视文化有限公司, 林超贤, 彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯, 剧情、运动、爱情, 票房（万）14529.1]"
《恶棍天使》,2015.12.24,2016.2.13,"[《恶棍天使》, 2015.12.24, 2016.2.13, 天津橙子映像传媒有限公司、北京光线影业有限公司, 閭撹秴銆佷繛鐧界湁, 邓超，孙俪，梁超，代乐乐, 鍠滃墽/鑽掕癁/鐖辨儏, 票房（万）64959.0]"
《闯入者》,2015.4.30,2015.5.24,"[《闯入者》, 2015.4.30, 2015.5.24, 冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团, 王小帅, 鍚曚腑锛岀Е娴风拹锛屽啹杩滃緛锛岀Е鏄婏紝鐭虫Υ, 剧情、犯罪, 票房（万）1003.6]"
《前任2：备胎反击战》,2015.11.6,2015.12.20,"[《前任2：备胎反击战》, 2015.11.6, 2015.12.20, 华谊兄弟传媒股份有限公司、新圣堂影业, 田羽生, 閮戞伜锛岄儹閲囨磥锛屽紶鑹哄叴锛岀帇浼犲悰, 爱情，喜剧, 票房（万）25200.2]"
《分手再说我爱你》,2015.12.24,2016.1.17,"[《分手再说我爱你》, 2015.12.24, 2016.1.17, 爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司, 叶念琛, 方力申，邓丽欣, 爱情、剧情, 票房（万）1273.2]"
《爱情魔发师》,2015.7.17,2015.8.2,"[《爱情魔发师》, 2015.7.17, 2015.8.2, 北京仁和博纳文化传媒有限公司, 鍊炬捣, 游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩, 鍠滃墽 / 鐖辨儏, 票房（万）20.3]"
《坏蛋必须死》,2015.11.27,2015.12.20,"[《坏蛋必须死》, 2015.11.27, 2015.12.20, 北京新力量、华谊兄弟、南京大道行知, 瀛欑殦, 陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民, 喜剧，悬疑，旅行，爱情, 票房（万）4705.4]"
《简单爱》,2015.7.3,2015.7.19,"[《简单爱》, 2015.7.3, 2015.7.19, 中视合利（北京）文化投资有限公司一鸣影业公司（美国）, 崔龄燕, 许绍洋，张琳，谢雨芩，石铭熙, 都市浪漫爱情喜剧, 票房（万）21.7]"
《一念天堂》,2015.12.31,2016.2.13,"[《一念天堂》, 2015.12.31, 2016.2.13, 天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司, 寮犳壙, 娌堣吘锛岄┈涓斤紝鏋楅洩锛屾潨鏅撳畤锛岀帇瀛愬瓙锛屾潕鍏冮箯, 鍠滃墽, 票房（万）8279.5]"
